Time Found	Reward	Height	Difficulty	Block Hash	Effort	Status
30.07.2021, 8:49:20	Waiting...	129918	512978	a1abfbdedc8c8acef6a28f0709e69a55982528d2c866fcffa57328421276fcf2	52%	15 to go
23.07.2021, 12:35:45	8.9746	125307	859241	94307bad5ed28223a5f27005fceadbb0d62d7ad98d5950cb1b28738910f51d49	7%	
23.07.2021, 12:25:14	8.9746	125301	852523	4c6b147c6486926216c5b6728b2c7f307e53891eee39588a88ad535871941518	157%	
23.07.2021, 8:37:03	8.9752	125182	715027	5aa0a7485cd23941b47aabd0344c342473b67f4ccc876852fee0bd3f1732c82d	445%	
23.07.2021, 0:05:05	8.9926	124943	1098519	34331018adb3b9c6a4d5a288ded1894b7263a135fe2e8f4074639e58dad49b39	77%	
22.07.2021, 21:26:39	8.9765	124866	1091755	1064bdba6bfcb2d6b6c3fb486eb0000e9f40909d8310f4ec0aa85d4fb3069704	81%	
22.07.2021, 18:53:53	8.9769	124781	983243	3c7ef2252c1ad527cfcf759a663d4b6dd141af77bbd6fb596e17ddc528cd56ef	219%	
22.07.2021, 12:14:39	8.9777	124580	916539	742124b687e047bd01a778006c551de922ab7004c6d996a88fa199382210bef9	84%	
22.07.2021, 10:10:51	8.9780	124517	849048	732fa8b72fddaabdb6fde58684dce90c29e347e8e32846a4c73044336a9a048d	100%	
22.07.2021, 7:51:57	8.9783	124443	826673	6453790683e2d7265c0b6b08feb35460e3ccbde899ebc9cd5b3c83efa073eb6f	21%	
22.07.2021, 7:21:37	8.9784	124430	807183	1f89486be8a1fa7c3e4b3f77ab0e2dda55ee02b7d1af034e0c0c7d2f9431188b	111%	
22.07.2021, 5:01:38	8.9786	124368	980420	7247defaf07e48da501ad54d3e22602c9a5be96f39fcb8ba5a39535a849e8858	236%	
21.07.2021, 22:45:22	8.9792	124231	2290561	94f1d06cced064f3d05b08c8dfd9cf7abc72eb27f184858d2b0eb9b139971902	2%	
21.07.2021, 22:37:31	8.9973	124224	2220956	e4b4982a6a0a726beeaefdcd755cc049367bf299b74f6c354ce5263bf296117b	13%	
21.07.2021, 21:45:17	8.9794	124200	2300677	529c7236f221aec02509d6c950d21015a59467415c5eb937c41bd4abe601dfd2	62%	
21.07.2021, 21:11:03	8.9794	124188	2517055	9e0cbe8373b4b2d133a929aa9642c8114c991b82a936da1a3898055dbe1c7e39	33%	
21.07.2021, 21:06:23	8.9794	124184	2398295	e46a81c3afc093c21cab724cb269afbb505b32688e4ed17a6c0f670208d96a4c	41%	
21.07.2021, 21:00:50	8.9795	124179	2243038	b361d33e4833bdc379c004a6a308f52223462415e166b005ca9060936522471b	54%	
21.07.2021, 20:55:30	9.0794	124175	2589790	1f858eb1e739556973aeb27228de48ba23a029a418fe5b27f5cb44d766d9f4e6	217%	
21.07.2021, 20:23:34	9.0059	124161	2133631	f3d2f2fcfc2839eb30acc4b0626c72449b57d480e7d4d7217f713d0443cfd110	49%	
21.07.2021, 20:17:52	8.9795	124157	2076507	2f4a7941d4ec915789cf0db5613a924d581ed2ce2657994019e077e3226be931	146%	
21.07.2021, 20:10:20	8.9796	124151	1953951	81ed83130f9a250d469a48adac7dbf3bd1e0db2d766f0e46ca65e13294eea6fe	87%	
21.07.2021, 20:04:57	8.9872	124148	1936651	695ee9683e8ec4b389b4c4675b667115085dcf55f9a61d103c045cb9be93d739	118%	
21.07.2021, 19:52:00	8.9796	124141	1907943	2a0deb0da5b55ae4663a16317672ab206020cd962ce8a6d5f12ce52467ec614c	16%	
21.07.2021, 19:51:17	8.9995	124140	1882426	e16fb70cdabff7e38900f58ee8f74c78d19dc8bfe20279061419fdcabd6ff61b	17%	
21.07.2021, 19:50:42	8.9796	124139	1840207	0db736326ba02b93874e6861acdd1d7433c027f2605af31ef9837b86e672643b	149%	
21.07.2021, 19:36:36	8.9797	124128	1716815	fdf1ad6f7661a4a238f349a2cd07029fc05409057885e7a0145cf7af0fdb8bcf	42%	
21.07.2021, 19:33:29	8.9917	124125	1645421	457e9de1504e0fda3aa51e384d22dfe6e156b5e7c9e79d190efe47dac4dfc10d	39%	
21.07.2021, 19:28:33	8.9797	124119	1584373	09093630aa4842752bae1e7eca5d477daf79acd9836bfb238992e5944e2a8f73	121%	
21.07.2021, 19:20:33	8.9797	124116	1629037	5d2a6aea1dbc56e7a0af936c283e568b224191db03a433d8b8c7a65950c7c471	144%	
21.07.2021, 18:57:48	8.9798	124107	1639737	b99b2bc2c368cde6961836159a7a51e10c01a61ff614fb367849502dd30e4b3e	131%	
21.07.2021, 18:46:49	8.9798	124101	1642199	4847f743a95dff92c70c3617b732a1c227748cae2a96d00fdeda314c33d9f2b8	50%	
21.07.2021, 18:45:17	8.9798	124100	1664204	330a2d937963888d1169602d8f10a93f3a2bb99419cad5e7e26fc4be49f609f2	102%	
21.07.2021, 18:33:57	8.9798	124096	1683063	a69d97761d5867efa2ea93f4984264f413c707dd1e530c6fc90eb1093bf705d9	18%	
21.07.2021, 18:33:28	8.9798	124095	1698508	8f15ddb6b8b347afb260d8f2bf522fb005c3ab01cfc68cc349223465740fc45a	18%	
21.07.2021, 18:29:07	8.9993	124093	1687398	dec6c28071fa9f5a890e2f1448140582d942a995f2d58ce2afbdc23456eb70bf	44%	
21.07.2021, 18:25:37	9.3424	124091	1665350	9ef4c855b583083d9a8ae840fae131a4420ac60b6d2291a9ab8c9bb83bad9a37	108%	
21.07.2021, 18:23:04	9.0636	124090	1637867	2792b16464eb69ca5b818fc4e4bd5ce5cde3dab0ad4bdf8035233b8fe4631c4e	104%	
21.07.2021, 18:22:53	9.0760	124089	1617059	b114929ee19b2031ce8fb24056be7b22838546f8977c504d9ab84d285cfe596b	107%	
21.07.2021, 18:21:35	9.0671	124087	1641902	0d8d7e8a5e140a8ae0b6bdcae067e27192e509511c5f7232ec25722dac0780de	276%	
21.07.2021, 17:59:07	8.9799	124075	1744796	1d23a779d106c5b9373bcdb9cbeeb85f8247e094135e6a9aa9c650d5f80079a3	175%	
21.07.2021, 17:39:47	8.9799	124070	1726683	91b380f610cf7d2942e5a650e80175ce54e4d6eedc0571474dbd4126d3144a4a	36%	
21.07.2021, 17:38:51	8.9799	124069	1706789	0e1257d9bb50177dd097c04d8ec71bbc7338931a3458800d116a5b2cfc036953	45%	
21.07.2021, 17:37:51	8.9979	124068	1704559	1d1d0f282c0cd631dfd2e5428d176b1c48b42e407e966a2acecb3bb3dca7f027	62%	
21.07.2021, 17:29:42	8.9799	124064	1770351	9de7895bf0c48f4eab02af146aebbb5c905a9f701cc078ff19ff99bd81706678	69%	
21.07.2021, 17:23:44	8.9800	124062	1708919	725a70ab2314a620ea25ee2609b729ae461556fc0137c3746324bb79d36868be	90%	
21.07.2021, 17:17:45	8.9800	124058	1808558	685ea4ae082921048b26308c4c0c980931f4f1457587c7e1969faf614e264db7	106%	
21.07.2021, 17:07:54	8.9800	124054	1737768	cd62510f7796638f0ff0188921dde1188f1c5c46d3200be6835d0b6b7593db5a	26%	
